Cell_population,Cell2_population,relativeY,relativeI,Y,irate
2.5652e+12,2.0168e+10,0.84,100,1.229e+10,1e-14
4.2507e+11,5.0265e+10,1,100,1.229e+10,1e-14
3.0473e+10,7.0557e+10,1.19,100,1.229e+10,1e-14
1.7552e+09,9.2321e+10,1.41,100,1.229e+10,1e-14
4.2723e+12,3.28e+09,0.71,100,1.229e+10,1e-14
3.6994e+12,9.3958e+10,0.84,10,1.229e+10,1e-14
9.0549e+11,4.2524e+11,1,10,1.229e+10,1e-14
4.1679e+10,6.6951e+11,1.19,10,1.229e+10,1e-14
9.7582e+08,8.8308e+11,1.41,10,1.229e+10,1e-14
4.5746e+12,1.0766e+10,0.71,10,1.229e+10,1e-14
4.5126e+12,2.3644e+11,0.84,1,1.229e+10,1e-14
2.4679e+12,2.4679e+12,1,1,1.229e+10,1e-14
1.8552e+11,6.1547e+12,1.19,1,1.229e+10,1e-14
4.4884e+09,8.376e+12,1.41,1,1.229e+10,1e-14
4.7403e+12,2.2717e+10,0.71,1,1.229e+10,1e-14
4.7441e+12,5.0533e+11,0.84,0.1,1.229e+10,1e-14
4.0879e+12,7.7348e+12,1,0.1,1.229e+10,1e-14
9.0664e+11,4.9613e+13,1.19,0.1,1.229e+10,1e-14
2.7903e+10,7.8849e+13,1.41,0.1,1.229e+10,1e-14
4.7893e+12,4.783e+10,0.71,0.1,1.229e+10,1e-14
4.794e+12,3.4672e+12,0.84,0.01,1.229e+10,1e-14
4.6409e+12,2.5322e+13,1,0.01,1.229e+10,1e-14
2.7183e+12,2.7308e+14,1.19,0.01,1.229e+10,1e-14
1.8469e+11,7.5266e+14,1.41,0.01,1.229e+10,1e-14
4.8021e+12,1.2661e+12,0.71,0.01,1.229e+10,1e-14
