Cell_population,Cell2_population,relativeY,relativeb,Y,b
4.7789e+12,2.5045e+11,0.84,0.1,1.229e+10,1e-14
4.5126e+12,2.3644e+11,0.84,1,1.229e+10,1e-14
2.9569e+12,1.549e+11,0.84,10,1.229e+10,1e-14
3.9966e+12,2.0937e+11,0.84,3.1623,1.229e+10,1e-14
4.7111e+12,2.4687e+11,0.84,0.31623,1.229e+10,1e-14
4.5047e+12,4.5047e+12,1,0.1,1.229e+10,1e-14
2.4679e+12,2.4679e+12,1,1,1.229e+10,1e-14
4.6472e+11,4.6472e+11,1,10,1.229e+10,1e-14
1.1983e+12,1.1983e+12,1,3.1623,1.229e+10,1e-14
3.7537e+12,3.7537e+12,1,0.31623,1.229e+10,1e-14
1.6927e+12,5.6119e+13,1.19,0.1,1.229e+10,1e-14
1.8552e+11,6.1547e+12,1.19,1,1.229e+10,1e-14
2.0123e+10,6.6613e+11,1.19,10,1.229e+10,1e-14
6.1184e+10,2.0288e+12,1.19,3.1623,1.229e+10,1e-14
5.6077e+11,1.8603e+13,1.19,0.31623,1.229e+10,1e-14
5.7997e+10,1.1006e+14,1.41,0.1,1.229e+10,1e-14
4.4884e+09,8.376e+12,1.41,1,1.229e+10,1e-14
5.1607e+08,8.718e+11,1.41,10,1.229e+10,1e-14
1.4802e+09,2.6857e+12,1.41,3.1623,1.229e+10,1e-14
1.4492e+10,2.742e+13,1.41,0.31623,1.229e+10,1e-14
4.7955e+12,2.3049e+10,0.71,0.1,1.229e+10,1e-14
4.7403e+12,2.2717e+10,0.71,1,1.229e+10,1e-14
4.3935e+12,2.1007e+10,0.71,10,1.229e+10,1e-14
4.637e+12,2.2186e+10,0.71,3.1623,1.229e+10,1e-14
4.7811e+12,2.2954e+10,0.71,0.31623,1.229e+10,1e-14
