Year,Month,Day,Hour,Minute,Strain
2017,7,24,17,29,125_T0_A
2017,7,24,17,29,125_T0_B
2017,7,24,17,29,125_T0_C
2017,7,24,17,29,125_T0_D
2017,7,24,17,29,125_T0_E
2017,7,25,16,19,125_T1_A
2017,7,25,16,19,125_T1_B
2017,7,25,16,19,125_T1_C
2017,7,25,16,19,125_T1_D
2017,7,25,16,19,125_T1_E
2017,7,26,15,20,125_T2_A
2017,7,26,15,20,125_T2_B
2017,7,26,15,20,125_T1-2_C
2017,7,26,15,20,125_T2_D
2017,7,26,15,20,125_T2_E
2017,7,27,16,19,125_T3_A
2017,7,27,16,19,125_T3_B
2017,7,27,16,19,125_T3_E
2017,7,27,16,19,125_T2_C
2017,7,27,16,19,125_T1-2_D
2017,7,28,12,45,125_T4_A
2017,7,28,12,45,125_T4_B
2017,7,28,12,45,125_T4_E
2017,7,28,12,45,125_T3_C
2017,7,28,12,45,125_T2-2_D
2017,7,29,17,28,125_T5_A
2017,7,29,17,28,125_T5_B
2017,7,29,17,28,125_T5_E
2017,7,29,17,28,125_T4_C
2017,7,29,17,28,125_T3_D
2017,7,30,19,32,125_T6_A
2017,7,30,19,32,125_T6_B
2017,7,30,19,32,125_T6_E
2017,7,30,19,32,125_T5_C
2017,7,30,19,32,125_T4_D
2017,7,31,19,8,125_T7_A
2017,7,31,19,8,125_T7_B
2017,7,31,19,8,125_T7_E
2017,7,31,19,8,125_T6_C
2017,7,31,19,8,125_T5_D
2017,8,1,17,1,125_T8_A
2017,8,1,17,1,125_T8_B
2017,8,1,17,1,125_T8_E
2017,8,1,17,1,125_T7_C
2017,8,1,17,1,125_T6_D
2017,8,2,16,7,125_T9_A
2017,8,2,16,7,125_T9_B
2017,8,2,16,7,125_T9_E
2017,8,2,16,7,125_T8_C
2017,8,2,16,7,125_T7_D
2017,8,3,15,8,125_T10_A
2017,8,3,15,8,125_T10_B
2017,8,3,15,8,125_T10_E
2017,8,3,15,8,125_T9_C
2017,8,3,15,8,125_T8_D
2017,8,4,15,30,125_T11_A
2017,8,4,15,30,125_T11_B
2017,8,4,15,30,125_T11_E
2017,8,4,15,30,125_T10_C
2017,8,4,15,30,125_T9_D
2017,8,5,19,40,125_T12_A
2017,8,5,19,40,125_T12_B
2017,8,5,19,40,125_T12_E
2017,8,5,19,40,125_T11_C
2017,8,5,19,40,125_T10_D
2017,8,6,16,19,125_T13_A
2017,8,6,16,19,125_T13_B
2017,8,6,16,19,125_T13_E
2017,8,6,16,19,125_T12_C
2017,8,6,16,19,125_T11_D
2017,8,7,17,25,125_T14_A
2017,8,7,17,25,125_T14_B
2017,8,7,17,25,125_T14_E
2017,8,7,17,25,125_T13_C
2017,8,7,17,25,125_T12_D
2017,8,8,15,23,125_T14_C
2017,8,8,15,23,125_T13_D
2017,8,9,15,46,125_T14_D
