Year,Month,Day,Hour,Minute,Pop,Isol,Time
2019,10,2,13,46,A,A,14
2019,10,2,13,46,B,A,14
2019,10,2,13,46,C,A,14
2019,10,2,13,46,D,A,14
2019,10,2,13,46,E,A,14
2019,10,2,13,46,Anc,,
2019,10,8,17,3,A,B,14
2019,10,8,17,3,B,B,14
2019,10,8,17,3,C,B,14
2019,10,8,17,3,D,B,14
2019,10,8,17,3,E,B,14
2019,10,8,17,3,Anc,,
2019,10,9,17,31,A,C,14
2019,10,9,17,31,B,C,14
2019,10,9,17,31,C,C,14
2019,10,9,17,31,D,C,14
2019,10,9,17,31,E,C,14
2019,10,9,17,31,Anc,,
2019,10,10,17,28,A,D,14
2019,10,10,17,28,B,D,14
2019,10,10,17,28,C,D,14
2019,10,10,17,28,D,D,14
2019,10,10,17,28,E,D,14
2019,10,10,17,28,Anc,,
2019,10,14,14,31,A,E,14
2019,10,14,14,31,B,E,14
2019,10,14,14,31,C,E,14
2019,10,14,14,31,D,E,14
2019,10,14,14,31,E,E,14
2019,10,14,14,31,Anc,,
