Counted by,Proj,Treat,Isol,PFU
Mike,74,L,A,6
Mike,74,G,A,0
Mike,74,C,A,82
Mike,75A,L,A,101
Mike,75A,G,A,0
Mike,75A,C,A,88
Mike,75B,L,A,61
Mike,75B,C,A,71
Mike,76A,G,A,0
Mike,76A,C,A,116
Mike,76B,L,A,85
Mike,76B,G,A,0
Mike,76B,C,A,100
Mike,P1.1, ,A,100
Mike,74,L,B,6
Mike,74,G,B,0
Mike,74,C,B,63
Mike,75A,L,B,63
Mike,75A,G,B,0
Mike,75A,C,B,61
Mike,75B,L,B,23
Mike,75B,C,B,39
Mike,76A,G,B,2
Mike,76A,C,B,88
Mike,76B,L,B,67
Mike,76B,G,B,0
Mike,76B,C,B,106
Mike,P1.1, ,B,93
Mike,74,L,D,27
Mike,74,G,D,0
Mike,74,C,D,117
Mike,75A,L,D,141
Mike,75A,G,D,0
Mike,75A,C,D,110
Mike,75B,L,D,88
Mike,75B,C,D,119
Mike,76A,G,D,0
Mike,76A,C,D,129
Mike,76B,L,D,99
Mike,76B,G,D,2
Mike,76B,C,D,111
Mike,P1.1, ,D,95
Sydney,74,L,C,24
Sydney,74,G,C,0
Sydney,74,C,C,81
Sydney,75A,L,C,85
Sydney,75A,G,C,0
Sydney,75A,C,C,88
Sydney,75B,L,C,50
Sydney,75B,C,C,57
Sydney,76A,G,C,0
Sydney,76A,C,C,70
Sydney,76B,L,C,65
Sydney,76B,G,C,0
Sydney,76B,C,C,69
Sydney,P1.1,,C,76
Sydney,P1.1, ,E,91
Sydney,74,L,E,39
Sydney,74,G,E,0
Sydney,74,C,E,101
Sydney,75A,L,E,91
Sydney,75A,G,E,0
Sydney,75A,C,E,97
Sydney,75B,L,E,78
Sydney,75B,C,E,112
Sydney,76A,G,E,0
Sydney,76A,C,E,107
Sydney,76B,L,E,91
Sydney,76B,G,E,0
Sydney,76B,C,E,81
